case,friction_coeff,preload_mm,launch_mps,range_m,lateral_m,current_risk
straight_validation,0.45,5,9.83,4.6,0.0,MEDIUM: watch BMS / branch current
straight_validation,0.45,8,10.41,5.0,0.0,MEDIUM: watch BMS / branch current
straight_validation,0.45,10,10.8,5.3,0.0,MEDIUM: watch BMS / branch current
straight_validation,0.45,12,11.19,5.6,0.0,MEDIUM: watch BMS / branch current
straight_validation,0.45,15,10.51,5.1,0.0,MEDIUM: watch BMS / branch current
straight_validation,0.55,5,10.92,5.4,0.0,MEDIUM: watch BMS / branch current
straight_validation,0.55,8,11.57,5.9,0.0,MEDIUM: watch BMS / branch current
straight_validation,0.55,10,12.0,6.2,0.0,MEDIUM: watch BMS / branch current
straight_validation,0.55,12,12.43,6.6,0.0,MEDIUM: watch BMS / branch current
straight_validation,0.55,15,11.76,6.0,0.0,MEDIUM: watch BMS / branch current
straight_validation,0.65,5,12.01,6.3,0.0,MEDIUM: watch BMS / branch current
straight_validation,0.65,8,12.72,6.8,0.0,MEDIUM: watch BMS / branch current
straight_validation,0.65,10,13.2,7.2,0.0,MEDIUM: watch BMS / branch current
straight_validation,0.65,12,13.67,7.6,0.0,MEDIUM: watch BMS / branch current
straight_validation,0.65,15,13.0,7.0,0.0,MEDIUM: watch BMS / branch current
straight_validation,0.75,5,13.1,7.1,0.0,MEDIUM: watch BMS / branch current
straight_validation,0.75,8,13.88,7.8,0.0,MEDIUM: watch BMS / branch current
straight_validation,0.75,10,14.1,8.0,0.0,MEDIUM: watch BMS / branch current
straight_validation,0.75,12,14.1,8.0,0.0,MEDIUM: watch BMS / branch current
straight_validation,0.75,15,14.1,8.0,0.0,MEDIUM: watch BMS / branch current
straight_validation,0.85,5,14.1,8.0,0.0,MEDIUM: watch BMS / branch current
straight_validation,0.85,8,14.1,8.0,0.0,MEDIUM: watch BMS / branch current
straight_validation,0.85,10,14.1,8.0,0.0,MEDIUM: watch BMS / branch current
straight_validation,0.85,12,14.1,8.0,0.0,MEDIUM: watch BMS / branch current
straight_validation,0.85,15,14.1,8.0,0.0,MEDIUM: watch BMS / branch current
light_curve_validation,0.45,5,9.83,5.0,0.17,MEDIUM: watch BMS / branch current
light_curve_validation,0.45,8,10.41,5.5,0.19,MEDIUM: watch BMS / branch current
light_curve_validation,0.45,10,10.8,5.9,0.21,MEDIUM: watch BMS / branch current
light_curve_validation,0.45,12,11.19,6.2,0.22,MEDIUM: watch BMS / branch current
light_curve_validation,0.45,15,10.51,5.6,0.19,MEDIUM: watch BMS / branch current
light_curve_validation,0.55,5,10.92,6.0,0.21,MEDIUM: watch BMS / branch current
light_curve_validation,0.55,8,11.57,6.5,0.24,MEDIUM: watch BMS / branch current
light_curve_validation,0.55,10,12.0,6.9,0.26,MEDIUM: watch BMS / branch current
light_curve_validation,0.55,12,12.43,7.3,0.28,MEDIUM: watch BMS / branch current
light_curve_validation,0.55,15,11.76,6.7,0.25,MEDIUM: watch BMS / branch current
light_curve_validation,0.65,5,12.01,6.9,0.26,MEDIUM: watch BMS / branch current
light_curve_validation,0.65,8,12.72,7.6,0.3,MEDIUM: watch BMS / branch current
light_curve_validation,0.65,10,13.2,8.1,0.32,MEDIUM: watch BMS / branch current
light_curve_validation,0.65,12,13.67,8.5,0.35,MEDIUM: watch BMS / branch current
light_curve_validation,0.65,15,13.0,7.9,0.31,MEDIUM: watch BMS / branch current
light_curve_validation,0.75,5,13.1,8.0,0.32,MEDIUM: watch BMS / branch current
light_curve_validation,0.75,8,13.88,8.7,0.37,MEDIUM: watch BMS / branch current
light_curve_validation,0.75,10,14.1,9.0,0.38,MEDIUM: watch BMS / branch current
light_curve_validation,0.75,12,14.1,9.0,0.38,MEDIUM: watch BMS / branch current
light_curve_validation,0.75,15,14.1,9.0,0.38,MEDIUM: watch BMS / branch current
light_curve_validation,0.85,5,14.1,9.0,0.38,MEDIUM: watch BMS / branch current
light_curve_validation,0.85,8,14.1,9.0,0.38,MEDIUM: watch BMS / branch current
light_curve_validation,0.85,10,14.1,9.0,0.38,MEDIUM: watch BMS / branch current
light_curve_validation,0.85,12,14.1,9.0,0.38,MEDIUM: watch BMS / branch current
light_curve_validation,0.85,15,14.1,9.0,0.38,MEDIUM: watch BMS / branch current
standard_curve_validation,0.45,5,10.42,6.0,0.25,LOW
standard_curve_validation,0.45,8,11.03,6.6,0.29,LOW
standard_curve_validation,0.45,10,11.45,7.0,0.32,LOW
standard_curve_validation,0.45,12,11.86,7.5,0.34,LOW
standard_curve_validation,0.45,15,11.14,6.7,0.3,LOW
standard_curve_validation,0.55,5,11.57,7.2,0.32,LOW
standard_curve_validation,0.55,8,12.26,7.9,0.37,LOW
standard_curve_validation,0.55,10,12.72,8.4,0.41,LOW
standard_curve_validation,0.55,12,13.17,8.8,0.44,LOW
standard_curve_validation,0.55,15,12.46,8.1,0.39,LOW
standard_curve_validation,0.65,5,12.73,8.4,0.41,LOW
standard_curve_validation,0.65,8,13.49,9.2,0.47,LOW
standard_curve_validation,0.65,10,13.99,9.8,0.51,LOW
standard_curve_validation,0.65,12,14.49,10.3,0.56,LOW
standard_curve_validation,0.65,15,13.78,9.5,0.49,LOW
standard_curve_validation,0.75,5,13.89,9.7,0.5,LOW
standard_curve_validation,0.75,8,14.71,10.6,0.58,LOW
standard_curve_validation,0.75,10,14.94,10.9,0.6,LOW
standard_curve_validation,0.75,12,14.94,10.9,0.6,LOW
standard_curve_validation,0.75,15,14.94,10.9,0.6,LOW
standard_curve_validation,0.85,5,14.94,10.9,0.6,LOW
standard_curve_validation,0.85,8,14.94,10.9,0.6,LOW
standard_curve_validation,0.85,10,14.94,10.9,0.6,LOW
standard_curve_validation,0.85,12,14.94,10.9,0.6,LOW
standard_curve_validation,0.85,15,14.94,10.9,0.6,LOW
